product_category_en,Revenue,Order Date
furniture_decor,32.9,2016-09-04
furniture_decor,39.99,2016-09-04
telephony,59.5,2016-09-05
health_beauty,44.99,2016-09-15
health_beauty,44.99,2016-09-15
health_beauty,44.99,2016-09-15
baby,100.0,2016-10-02
fashion_shoes,29.99,2016-10-03
furniture_decor,74.9,2016-10-03
sports_leisure,21.5,2016-10-03
sports_leisure,21.9,2016-10-03
sports_leisure,36.49,2016-10-03
toys,128.9,2016-10-03
watches_gifts,29.9,2016-10-03
furniture_decor,119.9,2016-10-03
perfumery,59.9,2016-10-04
health_beauty,57.0,2016-10-04
furniture_decor,59.9,2016-10-04
sports_leisure,149.99,2016-10-04
bed_bath_table,79.9,2016-10-04
furniture_decor,59.9,2016-10-04
toys,379.9,2016-10-04
toys,64.9,2016-10-04
baby,39.9,2016-10-04
baby,199.99,2016-10-04
consoles_games,949.99,2016-10-04
toys,128.9,2016-10-04
air_conditioning,299.99,2016-10-04
air_conditioning,149.9,2016-10-04
air_conditioning,149.9,2016-10-04
air_conditioning,149.9,2016-10-04
health_beauty,136.9,2016-10-04
sports_leisure,149.9,2016-10-04
health_beauty,59.9,2016-10-04
furniture_decor,93.9,2016-10-04
health_beauty,599.0,2016-10-04
furniture_decor,23.9,2016-10-04
furniture_decor,23.9,2016-10-04
toys,64.9,2016-10-04
health_beauty,99.9,2016-10-04
consoles_games,32.49,2016-10-04
fixed_telephony,199.0,2016-10-04
perfumery,59.9,2016-10-04
consoles_games,949.99,2016-10-04
health_beauty,99.9,2016-10-04
furniture_decor,67.9,2016-10-04
furniture_decor,189.0,2016-10-04
computers_accessories,71.0,2016-10-04
health_beauty,69.9,2016-10-04
toys,129.9,2016-10-04
,49.99,2016-10-04
housewares,89.9,2016-10-04
housewares,89.9,2016-10-04
bed_bath_table,79.9,2016-10-04
health_beauty,57.9,2016-10-04
cool_stuff,89.9,2016-10-04
health_beauty,49.9,2016-10-04
furniture_decor,79.9,2016-10-04
housewares,109.9,2016-10-04
toys,69.99,2016-10-04
furniture_decor,22.37,2016-10-04
consoles_games,189.9,2016-10-04
furniture_decor,39.99,2016-10-04
auto,9.9,2016-10-04
garden_tools,179.9,2016-10-04
perfumery,249.9,2016-10-04
baby,39.9,2016-10-04
perfumery,249.9,2016-10-04
health_beauty,59.9,2016-10-04
computers_accessories,164.0,2016-10-04
furniture_decor,79.9,2016-10-04
health_beauty,49.9,2016-10-04
furniture_decor,19.9,2016-10-04
perfumery,249.9,2016-10-04
perfumery,249.9,2016-10-04
furniture_decor,49.9,2016-10-04
sports_leisure,399.0,2016-10-04
office_furniture,86.99,2016-10-04
telephony,19.99,2016-10-04
cool_stuff,89.0,2016-10-04
telephony,239.9,2016-10-04
perfumery,44.9,2016-10-04
furniture_decor,148.0,2016-10-04
furniture_decor,139.9,2016-10-04
auto,279.99,2016-10-05
fashio_female_clothing,54.9,2016-10-05
air_conditioning,149.9,2016-10-05
furniture_decor,22.37,2016-10-05
telephony,39.9,2016-10-05
telephony,39.9,2016-10-05
market_place,77.9,2016-10-05
furniture_decor,22.37,2016-10-05
fashion_male_clothing,24.9,2016-10-05
market_place,77.9,2016-10-05
office_furniture,86.99,2016-10-05
market_place,77.9,2016-10-05
air_conditioning,149.9,2016-10-05
computers_accessories,24.99,2016-10-05
perfumery,249.9,2016-10-05
fixed_telephony,149.99,2016-10-05
perfumery,249.9,2016-10-05
electronics,1199.0,2016-10-05
baby,59.99,2016-10-05
market_place,79.9,2016-10-05
market_place,77.9,2016-10-05
