product_category_en,Revenue,Freight Costs,Order_Date
furniture_decor,39.99,31.67,2016-09-04
furniture_decor,32.9,31.67,2016-09-04
telephony,59.5,15.56,2016-09-05
health_beauty,44.99,2.83,2016-09-15
health_beauty,44.99,2.83,2016-09-15
health_beauty,44.99,2.83,2016-09-15
baby,100.0,9.34,2016-10-02
watches_gifts,29.9,15.56,2016-10-03
sports_leisure,21.5,14.11,2016-10-03
furniture_decor,74.9,17.37,2016-10-03
sports_leisure,36.49,17.24,2016-10-03
furniture_decor,119.9,13.56,2016-10-03
sports_leisure,21.9,17.19,2016-10-03
fashion_shoes,29.99,10.96,2016-10-03
toys,128.9,25.67,2016-10-03
housewares,89.9,24.87,2016-10-04
telephony,19.99,20.8,2016-10-04
computers_accessories,164.0,13.2,2016-10-04
sports_leisure,149.99,23.41,2016-10-04
toys,64.9,16.7,2016-10-04
health_beauty,49.9,15.56,2016-10-04
auto,9.9,8.72,2016-10-04
furniture_decor,59.9,14.83,2016-10-04
furniture_decor,189.0,48.45,2016-10-04
toys,64.9,16.7,2016-10-04
telephony,239.9,12.29,2016-10-04
furniture_decor,59.9,14.83,2016-10-04
baby,199.99,17.31,2016-10-04
bed_bath_table,79.9,15.91,2016-10-04
furniture_decor,79.9,15.91,2016-10-04
health_beauty,99.9,19.53,2016-10-04
furniture_decor,49.9,11.74,2016-10-04
toys,128.9,16.04,2016-10-04
furniture_decor,79.9,15.91,2016-10-04
garden_tools,179.9,16.37,2016-10-04
furniture_decor,19.9,14.52,2016-10-04
bed_bath_table,79.9,15.91,2016-10-04
health_beauty,99.9,16.27,2016-10-04
office_furniture,86.99,28.23,2016-10-04
health_beauty,136.9,17.39,2016-10-04
air_conditioning,299.99,19.01,2016-10-04
housewares,109.9,11.23,2016-10-04
sports_leisure,399.0,48.49,2016-10-04
air_conditioning,149.9,19.33,2016-10-04
air_conditioning,149.9,19.33,2016-10-04
air_conditioning,149.9,19.33,2016-10-04
housewares,89.9,27.96,2016-10-04
perfumery,249.9,27.91,2016-10-04
toys,69.99,17.58,2016-10-04
toys,129.9,12.44,2016-10-04
furniture_decor,148.0,30.11,2016-10-04
perfumery,44.9,15.7,2016-10-04
health_beauty,69.9,19.48,2016-10-04
consoles_games,949.99,29.92,2016-10-04
health_beauty,599.0,60.41,2016-10-04
baby,39.9,13.4,2016-10-04
baby,39.9,15.64,2016-10-04
toys,379.9,18.22,2016-10-04
sports_leisure,149.9,27.38,2016-10-04
furniture_decor,93.9,17.61,2016-10-04
,49.99,15.51,2016-10-04
computers_accessories,71.0,11.69,2016-10-04
consoles_games,189.9,12.87,2016-10-04
health_beauty,57.9,14.61,2016-10-04
perfumery,249.9,17.59,2016-10-04
health_beauty,59.9,14.87,2016-10-04
health_beauty,59.9,14.87,2016-10-04
consoles_games,949.99,32.42,2016-10-04
cool_stuff,89.9,17.51,2016-10-04
furniture_decor,23.9,26.82,2016-10-04
furniture_decor,23.9,26.82,2016-10-04
consoles_games,32.49,11.74,2016-10-04
furniture_decor,67.9,18.98,2016-10-04
furniture_decor,139.9,21.34,2016-10-04
furniture_decor,39.99,22.34,2016-10-04
perfumery,59.9,14.86,2016-10-04
perfumery,249.9,14.03,2016-10-04
fixed_telephony,199.0,15.98,2016-10-04
perfumery,59.9,14.86,2016-10-04
cool_stuff,89.0,32.01,2016-10-04
perfumery,249.9,17.59,2016-10-04
health_beauty,49.9,16.78,2016-10-04
furniture_decor,22.37,17.78,2016-10-04
health_beauty,57.0,8.77,2016-10-04
air_conditioning,149.9,19.33,2016-10-05
air_conditioning,149.9,19.33,2016-10-05
bed_bath_table,169.9,14.97,2016-10-05
toys,101.9,21.3,2016-10-05
perfumery,59.9,11.3,2016-10-05
baby,99.0,9.12,2016-10-05
health_beauty,30.97,14.52,2016-10-05
furniture_decor,22.37,3.99,2016-10-05
telephony,29.9,10.96,2016-10-05
industry_commerce_and_business,89.9,23.27,2016-10-05
baby,59.99,24.08,2016-10-05
sports_leisure,649.0,169.12,2016-10-05
furniture_decor,14.9,4.26,2016-10-05
furniture_decor,22.37,39.93,2016-10-05
market_place,79.9,18.65,2016-10-05
furniture_decor,22.37,3.99,2016-10-05
furniture_decor,14.9,13.31,2016-10-05
toys,119.99,14.81,2016-10-05
air_conditioning,149.9,19.33,2016-10-05
baby,329.99,12.7,2016-10-05
air_conditioning,149.9,19.33,2016-10-05
furniture_decor,19.9,14.52,2016-10-05
fashio_female_clothing,54.9,14.73,2016-10-05
computers_accessories,43.89,14.52,2016-10-05
toys,128.9,23.22,2016-10-05
fixed_telephony,149.99,11.66,2016-10-05
toys,128.7,12.29,2016-10-05
telephony,39.9,14.52,2016-10-05
telephony,39.9,14.52,2016-10-05
auto,279.99,121.2,2016-10-05
health_beauty,30.97,14.52,2016-10-05
auto,10.0,14.52,2016-10-05
fashion_male_clothing,24.9,10.96,2016-10-05
furniture_decor,22.9,15.46,2016-10-05
computers_accessories,24.99,17.78,2016-10-05
office_furniture,86.99,28.23,2016-10-05
toys,129.99,24.11,2016-10-05
books_technical,267.0,32.84,2016-10-05
perfumery,249.9,23.87,2016-10-05
auto,49.99,10.96,2016-10-05
electronics,1199.0,28.78,2016-10-05
market_place,77.9,26.3,2016-10-05
market_place,77.9,26.3,2016-10-05
market_place,77.9,26.3,2016-10-05
consoles_games,629.9,31.85,2016-10-05
toys,629.9,34.03,2016-10-05
market_place,77.9,26.3,2016-10-05
health_beauty,59.9,16.0,2016-10-05
perfumery,249.9,20.85,2016-10-05
health_beauty,59.9,11.31,2016-10-05
furniture_decor,248.0,18.11,2016-10-05
market_place,77.9,26.3,2016-10-05
auto,294.9,20.34,2016-10-05
toys,128.9,21.01,2016-10-05
computers_accessories,75.0,20.58,2016-10-05
market_place,77.9,26.3,2016-10-05
fashion_bags_accessories,88.0,11.23,2016-10-06
bed_bath_table,59.9,14.69,2016-10-06
cool_stuff,69.9,19.26,2016-10-06
health_beauty,49.99,14.59,2016-10-06
sports_leisure,18.9,14.52,2016-10-06
health_beauty,49.99,14.59,2016-10-06
electronics,107.99,11.8,2016-10-06
pet_shop,99.9,16.26,2016-10-06
health_beauty,49.9,11.74,2016-10-06
baby,159.9,16.33,2016-10-06
sports_leisure,1299.99,100.75,2016-10-06
sports_leisure,89.9,17.47,2016-10-06
cool_stuff,136.9,25.7,2016-10-06
computers_accessories,20.9,14.52,2016-10-06
telephony,31.89,15.65,2016-10-06
baby,39.9,10.96,2016-10-06
perfumery,279.9,17.45,2016-10-06
health_beauty,156.97,16.8,2016-10-06
garden_tools,139.99,16.23,2016-10-06
furniture_decor,79.9,11.38,2016-10-06
market_place,177.9,21.17,2016-10-06
market_place,48.0,3.62,2016-10-06
health_beauty,109.99,16.26,2016-10-06
pet_shop,109.9,17.96,2016-10-06
fashion_bags_accessories,25.9,8.72,2016-10-06
perfumery,249.9,17.59,2016-10-06
auto,499.99,94.47,2016-10-06
consoles_games,15.0,10.96,2016-10-06
furniture_decor,49.99,19.36,2016-10-06
perfumery,89.9,15.49,2016-10-06
