product_category_en,review_score,order_purchase_timestamp,review
cool_stuff,5,2017-09-13,Good
pet_shop,4,2017-04-26,Good
furniture_decor,5,2018-01-14,Good
perfumery,4,2018-08-08,Good
garden_tools,5,2017-02-04,Good
housewares,4,2017-05-15,Good
telephony,4,2017-12-10,Good
garden_tools,5,2018-07-04,Good
health_beauty,1,2018-03-19,Bad
books_technical,4,2018-07-02,Good
health_beauty,5,2018-03-24,Good
fashion_bags_accessories,5,2018-07-27,Good
bed_bath_table,5,2018-07-24,Good
garden_tools,5,2018-02-13,Good
garden_tools,5,2018-02-13,Good
sports_leisure,5,2018-08-14,Good
consoles_games,4,2018-04-25,Good
perfumery,1,2018-05-11,Bad
sports_leisure,5,2017-08-12,Good
cool_stuff,3,2018-02-22,Bad
bed_bath_table,3,2018-03-23,Bad
telephony,3,2017-11-21,Bad
office_furniture,4,2018-03-07,Good
fashion_bags_accessories,4,2018-02-27,Good
cool_stuff,5,2017-09-11,Good
sports_leisure,5,2017-08-06,Good
luggage_accessories,4,2018-01-16,Good
furniture_decor,5,2017-03-23,Good
food,5,2018-06-11,Good
furniture_decor,5,2017-12-05,Good
agro_industry_and_commerce,4,2017-11-24,Good
furniture_decor,2,2018-04-07,Bad
telephony,5,2017-05-22,Good
electronics,5,2018-01-14,Good
bed_bath_table,1,2018-01-16,Bad
garden_tools,5,2017-04-28,Good
computers_accessories,1,2017-04-06,Bad
cool_stuff,5,2018-02-06,Good
furniture_decor,5,2018-03-06,Good
electronics,4,2017-12-27,Good
electronics,4,2017-12-27,Good
electronics,4,2017-12-27,Good
construction_tools_construction,5,2018-07-04,Good
computers_accessories,5,2018-03-26,Good
bed_bath_table,2,2017-11-24,Bad
health_beauty,1,2017-05-14,Bad
health_beauty,1,2017-05-14,Bad
pet_shop,5,2017-05-17,Good
bed_bath_table,5,2017-01-28,Good
computers_accessories,5,2017-03-18,Good
health_beauty,1,2018-05-19,Bad
furniture_decor,4,2017-11-28,Good
furniture_decor,5,2017-08-15,Good
audio,4,2018-04-22,Good
sports_leisure,5,2018-03-31,Good
books_technical,5,2018-03-27,Good
baby,5,2018-05-08,Good
computers_accessories,4,2017-12-27,Good
sports_leisure,5,2018-07-08,Good
computers_accessories,4,2018-02-27,Good
telephony,5,2017-02-02,Good
cool_stuff,4,2017-10-27,Good
telephony,5,2017-11-24,Good
furniture_decor,4,2018-02-13,Good
telephony,5,2018-07-23,Good
construction_tools_lights,4,2018-08-15,Good
perfumery,5,2017-12-18,Good
health_beauty,4,2018-08-25,Good
toys,5,2018-05-02,Good
furniture_decor,4,2018-02-18,Good
cool_stuff,5,2017-06-20,Good
stationery,5,2018-03-11,Good
housewares,4,2018-05-14,Good
housewares,4,2018-05-14,Good
perfumery,3,2017-11-19,Bad
furniture_decor,5,2018-07-02,Good
bed_bath_table,3,2018-03-21,Bad
toys,5,2017-08-04,Good
consoles_games,5,2017-08-04,Good
housewares,1,2017-11-24,Bad
baby,5,2018-03-25,Good
housewares,1,2018-08-15,Bad
industry_commerce_and_business,5,2018-04-10,Good
housewares,1,2018-03-10,Bad
luggage_accessories,1,2017-05-18,Bad
luggage_accessories,1,2017-05-18,Bad
pet_shop,5,2018-04-25,Good
bed_bath_table,5,2017-09-25,Good
bed_bath_table,5,2017-09-25,Good
garden_tools,3,2018-07-08,Bad
health_beauty,5,2018-08-20,Good
bed_bath_table,5,2017-08-17,Good
bed_bath_table,5,2017-08-17,Good
cool_stuff,4,2017-11-24,Good
furniture_decor,5,2018-02-21,Good
office_furniture,2,2018-07-19,Bad
toys,5,2017-10-13,Good
sports_leisure,4,2018-02-02,Good
perfumery,5,2018-06-13,Good
perfumery,5,2018-06-13,Good
sports_leisure,5,2018-07-06,Good
housewares,5,2018-08-19,Good
construction_tools_construction,1,2018-08-03,Bad
housewares,5,2018-08-03,Good
computers_accessories,3,2018-03-17,Bad
watches_gifts,4,2017-11-17,Good
health_beauty,4,2018-08-19,Good
telephony,5,2018-07-07,Good
computers_accessories,1,2018-02-21,Bad
computers_accessories,1,2018-02-21,Bad
watches_gifts,5,2018-02-06,Good
watches_gifts,5,2018-05-07,Good
computers_accessories,2,2018-01-22,Bad
furniture_decor,5,2017-05-21,Good
watches_gifts,1,2017-10-03,Bad
housewares,5,2018-07-04,Good
electronics,4,2018-05-18,Good
health_beauty,5,2017-08-10,Good
auto,5,2018-06-10,Good
consoles_games,5,2018-05-29,Good
,5,2017-09-26,Good
furniture_decor,5,2017-09-21,Good
,5,2017-02-13,Good
garden_tools,1,2017-12-30,Bad
health_beauty,5,2018-07-04,Good
telephony,5,2017-12-25,Good
perfumery,5,2018-06-06,Good
stationery,5,2017-12-20,Good
sports_leisure,5,2017-08-02,Good
,3,2018-02-27,Bad
cool_stuff,5,2017-11-25,Good
cool_stuff,5,2017-06-11,Good
bed_bath_table,3,2018-02-05,Bad
bed_bath_table,3,2018-02-05,Bad
food,1,2018-08-07,Bad
food,1,2018-08-07,Bad
food,1,2018-08-07,Bad
food,1,2018-08-07,Bad
computers_accessories,5,2018-02-19,Good
,4,2018-01-18,Good
perfumery,5,2017-05-18,Good
perfumery,5,2017-05-18,Good
telephony,5,2017-07-23,Good
telephony,1,2017-08-18,Bad
health_beauty,5,2018-04-10,Good
watches_gifts,5,2018-02-09,Good
computers_accessories,5,2017-04-09,Good
sports_leisure,5,2017-04-15,Good
baby,1,2017-10-18,Bad
baby,1,2017-10-18,Bad
toys,1,2017-10-18,Bad
computers_accessories,3,2018-02-21,Bad
sports_leisure,5,2018-03-04,Good
watches_gifts,5,2017-11-01,Good
toys,4,2018-07-26,Good
watches_gifts,5,2018-03-08,Good
cool_stuff,5,2017-09-10,Good
home_appliances,5,2018-02-23,Good
kitchen_dining_laundry_garden_furniture,4,2017-09-24,Good
baby,5,2018-06-10,Good
bed_bath_table,5,2018-04-27,Good
electronics,5,2017-11-24,Good
furniture_decor,1,2017-08-27,Bad
air_conditioning,1,2018-01-22,Bad
air_conditioning,1,2018-01-22,Bad
sports_leisure,5,2017-09-29,Good
computers_accessories,5,2018-07-18,Good
toys,5,2018-08-06,Good
,5,2018-02-17,Good
toys,5,2017-08-14,Good
fashion_bags_accessories,5,2017-12-02,Good
sports_leisure,5,2018-08-13,Good
watches_gifts,4,2017-12-27,Good
garden_tools,5,2017-05-11,Good
home_confort,4,2018-04-10,Good
health_beauty,2,2018-03-22,Bad
toys,5,2017-07-25,Good
housewares,4,2018-01-22,Good
toys,4,2018-05-14,Good
watches_gifts,5,2017-11-12,Good
watches_gifts,5,2018-01-30,Good
sports_leisure,4,2017-04-24,Good
health_beauty,5,2017-06-28,Good
furniture_decor,5,2017-11-06,Good
sports_leisure,5,2018-05-03,Good
bed_bath_table,5,2018-04-24,Good
bed_bath_table,4,2017-09-23,Good
electronics,2,2018-02-20,Bad
sports_leisure,5,2017-11-24,Good
furniture_decor,5,2018-02-03,Good
telephony,3,2017-08-11,Bad
computers_accessories,2,2018-02-14,Bad
bed_bath_table,5,2017-11-08,Good
bed_bath_table,3,2017-07-05,Bad
computers_accessories,1,2018-03-14,Bad
home_appliances,4,2018-03-14,Good
baby,5,2017-08-13,Good
perfumery,5,2017-10-23,Good
watches_gifts,3,2018-08-04,Bad
sports_leisure,5,2017-05-14,Good
computers_accessories,5,2018-05-11,Good
health_beauty,1,2018-04-02,Bad
health_beauty,1,2018-04-29,Bad
computers_accessories,4,2018-03-04,Good
health_beauty,5,2018-05-18,Good
bed_bath_table,3,2018-08-08,Bad
toys,5,2018-06-04,Good
toys,5,2018-06-04,Good
auto,5,2018-01-06,Good
bed_bath_table,1,2018-03-20,Bad
housewares,5,2017-07-10,Good
auto,5,2018-06-30,Good
health_beauty,5,2017-02-22,Good
watches_gifts,4,2018-08-24,Good
housewares,5,2018-06-13,Good
auto,5,2017-11-11,Good
pet_shop,4,2017-12-09,Good
pet_shop,4,2017-12-09,Good
construction_tools_construction,5,2018-06-25,Good
perfumery,1,2018-05-01,Bad
sports_leisure,5,2018-01-24,Good
consoles_games,4,2017-03-07,Good
watches_gifts,5,2017-11-15,Good
auto,4,2018-07-11,Good
computers_accessories,2,2017-10-24,Bad
cool_stuff,5,2017-08-21,Good
computers_accessories,4,2018-08-23,Good
garden_tools,1,2018-03-05,Bad
garden_tools,1,2018-03-05,Bad
bed_bath_table,3,2018-06-14,Bad
bed_bath_table,4,2017-09-19,Good
bed_bath_table,5,2018-03-15,Good
bed_bath_table,5,2018-03-15,Good
health_beauty,1,2018-07-26,Bad
perfumery,4,2018-05-11,Good
garden_tools,5,2017-11-23,Good
telephony,5,2018-01-11,Good
garden_tools,5,2017-10-19,Good
perfumery,4,2017-06-14,Good
computers_accessories,5,2018-02-18,Good
housewares,4,2018-05-08,Good
sports_leisure,5,2017-12-09,Good
furniture_decor,1,2017-11-27,Bad
electronics,5,2018-07-25,Good
perfumery,2,2017-12-10,Bad
stationery,1,2018-08-03,Bad
consoles_games,5,2017-10-25,Good
housewares,5,2018-05-18,Good
auto,5,2018-04-26,Good
computers_accessories,5,2018-07-20,Good
computers_accessories,5,2018-07-20,Good
computers_accessories,5,2018-07-20,Good
furniture_decor,5,2018-04-08,Good
fixed_telephony,3,2017-09-01,Bad
furniture_decor,4,2018-05-09,Good
bed_bath_table,3,2017-05-12,Bad
computers_accessories,5,2018-08-17,Good
perfumery,5,2017-09-01,Good
sports_leisure,4,2018-06-12,Good
health_beauty,5,2018-08-10,Good
small_appliances_home_oven_and_coffee,4,2018-05-25,Good
furniture_decor,2,2018-02-18,Bad
diapers_and_hygiene,5,2018-04-06,Good
office_furniture,3,2018-01-19,Bad
watches_gifts,2,2018-08-04,Bad
auto,2,2018-05-09,Bad
baby,5,2018-02-21,Good
sports_leisure,5,2017-06-20,Good
signaling_and_security,5,2018-07-15,Good
auto,3,2018-08-08,Bad
auto,3,2018-08-08,Bad
watches_gifts,4,2018-08-09,Good
fashion_bags_accessories,5,2018-01-31,Good
health_beauty,5,2018-01-01,Good
fashion_bags_accessories,5,2018-08-28,Good
electronics,4,2018-03-26,Good
bed_bath_table,5,2018-01-22,Good
garden_tools,5,2017-01-18,Good
computers_accessories,4,2018-08-17,Good
stationery,5,2018-01-03,Good
housewares,3,2017-08-02,Bad
kitchen_dining_laundry_garden_furniture,4,2018-05-01,Good
telephony,1,2018-08-11,Bad
telephony,1,2018-08-11,Bad
auto,5,2018-05-16,Good
health_beauty,5,2018-02-24,Good
bed_bath_table,5,2018-01-22,Good
telephony,5,2017-11-30,Good
watches_gifts,5,2018-07-16,Good
health_beauty,4,2017-08-08,Good
health_beauty,5,2017-04-23,Good
computers_accessories,3,2017-07-22,Bad
computers_accessories,3,2017-07-22,Bad
computers_accessories,3,2017-07-22,Bad
computers_accessories,3,2017-07-22,Bad
computers_accessories,1,2018-04-18,Bad
watches_gifts,4,2018-01-14,Good
sports_leisure,5,2017-12-01,Good
watches_gifts,5,2018-06-12,Good
sports_leisure,5,2018-03-08,Good
construction_tools_lights,2,2018-05-24,Bad
health_beauty,5,2017-09-26,Good
furniture_decor,1,2017-09-11,Bad
furniture_decor,1,2017-09-11,Bad
electronics,5,2017-12-31,Good
health_beauty,1,2017-10-23,Bad
furniture_decor,5,2018-01-13,Good
perfumery,5,2018-07-23,Good
auto,4,2017-12-06,Good
health_beauty,5,2018-06-08,Good
industry_commerce_and_business,4,2018-06-03,Good
bed_bath_table,4,2018-05-31,Good
perfumery,5,2017-10-24,Good
stationery,5,2018-04-20,Good
garden_tools,5,2017-11-08,Good
electronics,5,2018-02-11,Good
housewares,3,2018-05-06,Bad
bed_bath_table,1,2018-05-04,Bad
sports_leisure,4,2017-08-09,Good
auto,5,2018-04-18,Good
furniture_decor,4,2017-02-24,Good
auto,4,2017-05-21,Good
auto,4,2017-05-21,Good
auto,4,2017-05-21,Good
auto,4,2017-05-21,Good
air_conditioning,1,2017-07-12,Bad
auto,5,2018-01-29,Good
computers_accessories,5,2018-01-30,Good
furniture_decor,4,2018-02-06,Good
musical_instruments,5,2018-07-20,Good
watches_gifts,5,2018-03-28,Good
computers_accessories,4,2017-02-09,Good
furniture_decor,5,2017-06-10,Good
telephony,1,2017-02-17,Bad
health_beauty,5,2018-06-18,Good
health_beauty,1,2018-03-15,Bad
sports_leisure,5,2018-08-07,Good
bed_bath_table,5,2018-03-24,Good
bed_bath_table,5,2018-03-24,Good
small_appliances,5,2018-06-11,Good
telephony,5,2017-09-26,Good
pet_shop,5,2017-04-19,Good
costruction_tools_garden,3,2017-05-23,Bad
costruction_tools_garden,3,2017-05-23,Bad
sports_leisure,5,2018-03-06,Good
health_beauty,5,2018-03-12,Good
furniture_decor,5,2018-05-09,Good
furniture_decor,4,2018-03-06,Good
cool_stuff,3,2017-10-13,Bad
computers_accessories,4,2017-05-01,Good
computers_accessories,4,2017-05-01,Good
health_beauty,5,2017-10-03,Good
art,5,2018-02-24,Good
watches_gifts,5,2017-11-18,Good
garden_tools,5,2017-06-08,Good
sports_leisure,4,2018-03-11,Good
computers_accessories,3,2018-03-04,Bad
health_beauty,4,2018-03-22,Good
musical_instruments,1,2017-05-15,Bad
furniture_decor,5,2018-04-30,Good
watches_gifts,5,2018-08-20,Good
fashion_bags_accessories,5,2017-08-12,Good
toys,5,2017-07-07,Good
toys,5,2017-07-07,Good
telephony,5,2018-08-14,Good
,5,2018-03-10,Good
watches_gifts,5,2018-07-01,Good
health_beauty,4,2017-04-13,Good
office_furniture,4,2017-05-16,Good
telephony,1,2018-06-23,Bad
furniture_decor,5,2017-11-25,Good
perfumery,4,2018-01-04,Good
computers_accessories,1,2017-12-24,Bad
,5,2017-05-30,Good
consoles_games,5,2018-08-27,Good
garden_tools,5,2018-02-11,Good
toys,4,2018-01-12,Good
health_beauty,4,2018-06-04,Good
bed_bath_table,5,2018-08-16,Good
watches_gifts,1,2018-08-06,Bad
perfumery,5,2017-12-15,Good
toys,4,2017-11-22,Good
toys,4,2017-11-22,Good
toys,4,2017-11-22,Good
toys,4,2017-11-22,Good
home_confort,5,2018-08-13,Good
home_appliances,5,2018-02-25,Good
housewares,3,2017-04-06,Bad
bed_bath_table,4,2017-06-29,Good
bed_bath_table,5,2017-11-25,Good
auto,5,2018-07-13,Good
home_construction,5,2018-07-08,Good
furniture_decor,4,2017-07-29,Good
cool_stuff,5,2018-05-09,Good
furniture_decor,3,2018-08-06,Bad
furniture_decor,3,2018-08-06,Bad
