order_status,Order_status,Product_Category,date
delivered,2,agro_industry_and_commerce,2017-01-23
delivered,1,agro_industry_and_commerce,2017-01-31
delivered,1,agro_industry_and_commerce,2017-02-05
delivered,1,agro_industry_and_commerce,2017-02-08
delivered,1,agro_industry_and_commerce,2017-02-12
delivered,1,agro_industry_and_commerce,2017-02-13
delivered,1,agro_industry_and_commerce,2017-02-16
delivered,1,agro_industry_and_commerce,2017-02-18
delivered,1,agro_industry_and_commerce,2017-02-21
delivered,1,agro_industry_and_commerce,2017-03-17
delivered,1,agro_industry_and_commerce,2017-03-20
delivered,1,agro_industry_and_commerce,2017-05-06
delivered,1,agro_industry_and_commerce,2017-05-08
delivered,1,agro_industry_and_commerce,2017-05-20
delivered,1,agro_industry_and_commerce,2017-05-28
delivered,1,agro_industry_and_commerce,2017-06-26
delivered,1,agro_industry_and_commerce,2017-07-14
delivered,4,agro_industry_and_commerce,2017-08-30
delivered,1,agro_industry_and_commerce,2017-09-05
delivered,1,agro_industry_and_commerce,2017-09-13
delivered,2,agro_industry_and_commerce,2017-09-23
delivered,1,agro_industry_and_commerce,2017-10-05
delivered,1,agro_industry_and_commerce,2017-10-10
delivered,1,agro_industry_and_commerce,2017-10-17
delivered,1,agro_industry_and_commerce,2017-10-23
delivered,1,agro_industry_and_commerce,2017-10-28
delivered,1,agro_industry_and_commerce,2017-11-06
delivered,1,agro_industry_and_commerce,2017-11-12
delivered,3,agro_industry_and_commerce,2017-11-14
delivered,1,agro_industry_and_commerce,2017-11-18
delivered,1,agro_industry_and_commerce,2017-11-20
delivered,1,agro_industry_and_commerce,2017-11-22
delivered,2,agro_industry_and_commerce,2017-11-23
delivered,7,agro_industry_and_commerce,2017-11-24
delivered,1,agro_industry_and_commerce,2017-11-28
delivered,1,agro_industry_and_commerce,2017-11-29
delivered,1,agro_industry_and_commerce,2017-12-01
delivered,1,agro_industry_and_commerce,2017-12-04
delivered,1,agro_industry_and_commerce,2017-12-06
delivered,1,agro_industry_and_commerce,2017-12-08
delivered,1,agro_industry_and_commerce,2017-12-10
delivered,2,agro_industry_and_commerce,2017-12-20
delivered,1,agro_industry_and_commerce,2017-12-22
delivered,1,agro_industry_and_commerce,2017-12-28
delivered,2,agro_industry_and_commerce,2017-12-29
delivered,1,agro_industry_and_commerce,2018-01-03
delivered,1,agro_industry_and_commerce,2018-01-04
delivered,1,agro_industry_and_commerce,2018-01-06
delivered,1,agro_industry_and_commerce,2018-01-07
delivered,2,agro_industry_and_commerce,2018-01-10
delivered,1,agro_industry_and_commerce,2018-01-12
delivered,1,agro_industry_and_commerce,2018-01-13
delivered,1,agro_industry_and_commerce,2018-01-16
delivered,1,agro_industry_and_commerce,2018-01-17
delivered,4,agro_industry_and_commerce,2018-01-18
delivered,1,agro_industry_and_commerce,2018-01-24
delivered,1,agro_industry_and_commerce,2018-01-25
delivered,1,agro_industry_and_commerce,2018-01-30
delivered,1,agro_industry_and_commerce,2018-01-31
delivered,1,agro_industry_and_commerce,2018-02-01
delivered,2,agro_industry_and_commerce,2018-02-02
delivered,1,agro_industry_and_commerce,2018-02-04
delivered,5,agro_industry_and_commerce,2018-02-05
delivered,1,agro_industry_and_commerce,2018-02-07
delivered,1,agro_industry_and_commerce,2018-02-08
delivered,1,agro_industry_and_commerce,2018-02-09
delivered,2,agro_industry_and_commerce,2018-02-14
delivered,1,agro_industry_and_commerce,2018-02-16
delivered,1,agro_industry_and_commerce,2018-02-22
delivered,2,agro_industry_and_commerce,2018-02-23
delivered,1,agro_industry_and_commerce,2018-02-25
delivered,1,agro_industry_and_commerce,2018-02-26
delivered,1,agro_industry_and_commerce,2018-02-27
delivered,5,agro_industry_and_commerce,2018-02-28
delivered,1,agro_industry_and_commerce,2018-03-01
delivered,1,agro_industry_and_commerce,2018-03-02
delivered,3,agro_industry_and_commerce,2018-03-05
delivered,1,agro_industry_and_commerce,2018-03-06
delivered,1,agro_industry_and_commerce,2018-03-07
delivered,1,agro_industry_and_commerce,2018-03-12
delivered,1,agro_industry_and_commerce,2018-03-13
delivered,1,agro_industry_and_commerce,2018-03-14
delivered,2,agro_industry_and_commerce,2018-03-16
delivered,1,agro_industry_and_commerce,2018-03-18
delivered,2,agro_industry_and_commerce,2018-03-19
delivered,4,agro_industry_and_commerce,2018-03-20
delivered,2,agro_industry_and_commerce,2018-03-22
delivered,2,agro_industry_and_commerce,2018-03-26
delivered,2,agro_industry_and_commerce,2018-03-28
delivered,1,agro_industry_and_commerce,2018-03-29
delivered,1,agro_industry_and_commerce,2018-04-03
delivered,1,agro_industry_and_commerce,2018-04-04
delivered,1,agro_industry_and_commerce,2018-04-05
delivered,1,agro_industry_and_commerce,2018-04-12
delivered,1,agro_industry_and_commerce,2018-04-13
