order_status,count,customer_city,date
delivered,1,abadia dos dourados,2017-09-02
delivered,1,abadia dos dourados,2018-03-02
delivered,1,abadia dos dourados,2018-07-02
delivered,1,abadiania,2018-01-28
delivered,1,abaete,2017-02-17
delivered,1,abaete,2017-05-05
delivered,1,abaete,2017-07-15
delivered,1,abaete,2017-07-31
delivered,1,abaete,2017-08-31
delivered,1,abaete,2017-11-20
delivered,1,abaete,2017-11-23
delivered,1,abaete,2018-03-05
delivered,1,abaete,2018-03-27
delivered,1,abaete,2018-06-01
delivered,1,abaete,2018-06-28
delivered,1,abaete,2018-08-20
delivered,1,abaetetuba,2017-04-03
delivered,1,abaetetuba,2017-06-01
delivered,1,abaetetuba,2017-09-05
delivered,1,abaetetuba,2017-12-01
delivered,1,abaetetuba,2018-03-10
delivered,1,abaetetuba,2018-03-22
delivered,1,abaetetuba,2018-04-18
delivered,1,abaetetuba,2018-05-16
delivered,1,abaetetuba,2018-07-16
delivered,1,abaetetuba,2018-08-01
delivered,1,abaetetuba,2018-08-03
delivered,1,abaiara,2017-11-24
delivered,1,abaiara,2018-05-11
delivered,1,abaira,2018-05-01
delivered,1,abaira,2018-08-06
delivered,1,abare,2017-08-16
delivered,1,abare,2018-05-09
delivered,1,abatia,2017-10-31
delivered,1,abatia,2017-11-26
delivered,1,abatia,2018-04-21
delivered,1,abdon batista,2017-04-18
delivered,1,abelardo luz,2017-05-15
delivered,1,abelardo luz,2017-09-29
delivered,1,abelardo luz,2017-11-22
delivered,1,abelardo luz,2017-11-29
delivered,1,abelardo luz,2018-06-23
delivered,1,abelardo luz,2018-08-01
delivered,1,abrantes,2018-03-26
shipped,1,abrantes,2017-10-26
canceled,1,abre campo,2017-12-06
delivered,1,abre campo,2017-06-09
delivered,1,abre campo,2017-09-01
delivered,1,abre campo,2017-11-29
delivered,1,abre campo,2017-12-06
delivered,1,abre campo,2017-12-14
delivered,1,abreu e lima,2017-05-14
delivered,1,abreu e lima,2017-05-15
delivered,1,abreu e lima,2017-06-07
delivered,1,abreu e lima,2017-12-06
delivered,1,abreu e lima,2017-12-12
delivered,1,abreu e lima,2018-01-19
delivered,1,abreu e lima,2018-02-01
delivered,1,abreu e lima,2018-02-07
delivered,1,abreu e lima,2018-02-15
delivered,1,abreu e lima,2018-06-25
delivered,1,abreu e lima,2018-07-22
delivered,1,acaiaca,2017-08-04
delivered,1,acaiaca,2018-07-04
delivered,1,acailandia,2017-04-13
