Customers State,Orders Quantity,revenue,date
Acre,2,589.6,2017-01-21
Acre,1,20.9,2017-02-10
Acre,1,59.7,2017-02-18
Acre,1,369.8,2017-02-24
Acre,1,56.99,2017-03-02
Acre,1,399.0,2017-03-05
Acre,1,249.99,2017-04-05
Acre,1,243.5,2017-04-09
Acre,1,549.0,2017-04-18
Acre,1,44.99,2017-04-21
Acre,1,74.9,2017-04-23
Acre,1,809.1,2017-05-02
Acre,1,18.99,2017-05-03
Acre,1,16.9,2017-05-13
Acre,2,1006.6,2017-05-14
Acre,1,50.0,2017-05-25
Acre,1,12.9,2017-05-27
Acre,1,179.9,2017-05-29
Acre,1,119.99,2017-06-02
Acre,1,189.9,2017-06-12
Acre,1,49.9,2017-06-19
Acre,1,25.99,2017-06-23
Acre,1,300.0,2017-07-06
Acre,1,119.9,2017-07-12
Acre,1,56.99,2017-07-17
Acre,1,31.9,2017-07-21
Acre,1,109.9,2017-07-24
Acre,1,199.0,2017-08-03
Acre,1,99.99,2017-08-04
Acre,1,62.8,2017-08-16
Acre,1,276.14,2017-08-22
Acre,1,194.99,2017-09-01
Acre,1,1200.0,2017-09-03
Acre,1,54.0,2017-09-12
Acre,1,148.0,2017-09-20
Acre,1,189.9,2017-09-24
Acre,1,159.99,2017-10-01
Acre,1,65.99,2017-10-03
Acre,1,51.98,2017-10-09
Acre,1,79.9,2017-10-12
Acre,1,285.0,2017-10-13
Acre,1,92.34,2017-10-18
Acre,1,45.0,2017-11-06
Acre,1,189.94,2017-11-14
Acre,1,250.0,2017-11-18
Acre,1,19.99,2017-11-24
Acre,1,144.99,2017-11-27
Acre,1,69.9,2017-12-07
Acre,1,388.0,2017-12-14
Acre,1,355.98,2017-12-22
Acre,1,239.0,2017-12-23
Acre,1,47.9,2017-12-25
Acre,1,108.9,2018-01-09
Acre,2,85.8,2018-01-11
Acre,1,88.34,2018-01-14
Acre,1,510.0,2018-01-16
Acre,1,89.9,2018-01-31
Acre,1,13.65,2018-02-11
Acre,1,109.18,2018-02-17
Acre,1,79.0,2018-02-19
Acre,1,27.9,2018-03-01
Acre,1,69.9,2018-03-04
Acre,1,74.99,2018-04-10
Acre,1,29.0,2018-04-12
Acre,1,220.0,2018-04-20
Acre,1,98.99,2018-04-26
Acre,1,524.9,2018-05-03
Acre,1,839.99,2018-05-28
Acre,1,179.0,2018-06-16
Acre,1,119.0,2018-06-25
Acre,1,129.9,2018-06-28
Acre,1,173.67,2018-07-25
Acre,2,768.4,2018-07-26
Acre,1,527.9,2018-07-29
Acre,1,66.99,2018-08-09
Acre,1,159.0,2018-08-10
Acre,1,220.7,2018-08-21
Alagoas,2,82.49,2016-10-07
Alagoas,1,129.99,2017-01-25
Alagoas,1,263.98,2017-01-31
Alagoas,1,514.99,2017-02-01
Alagoas,2,1298.9,2017-02-03
Alagoas,1,119.99,2017-02-07
Alagoas,1,29.9,2017-02-08
Alagoas,2,119.8,2017-02-11
Alagoas,1,59.9,2017-02-12
Alagoas,1,239.0,2017-02-15
Alagoas,1,99.75,2017-02-21
Alagoas,1,95.81,2017-02-25
Alagoas,1,37.99,2017-02-27
Alagoas,1,194.5,2017-03-01
Alagoas,2,183.99,2017-03-14
Alagoas,1,49.9,2017-03-16
Alagoas,1,198.9,2017-03-22
Alagoas,1,105.0,2017-03-24
Alagoas,1,199.7,2017-03-25
Alagoas,1,119.9,2017-03-27
Alagoas,1,43.9,2017-03-28
Alagoas,1,79.0,2017-03-30
Alagoas,1,15.0,2017-04-01
Alagoas,1,809.1,2017-04-06
Alagoas,2,817.9,2017-04-07
Alagoas,2,1119.0,2017-04-08
Alagoas,1,81.56,2017-04-10
Alagoas,1,199.0,2017-04-11
Alagoas,2,244.8,2017-04-13
Alagoas,1,11.99,2017-04-15
Alagoas,1,370.0,2017-04-17
Alagoas,1,219.0,2017-04-18
Alagoas,2,274.99,2017-04-21
Alagoas,2,118.99,2017-04-22
Alagoas,1,99.9,2017-04-23
Alagoas,1,129.0,2017-04-24
Alagoas,1,69.9,2017-04-25
Alagoas,1,42.99,2017-04-28
Alagoas,2,94.9,2017-04-30
Alagoas,2,95.79,2017-05-01
Alagoas,1,329.9,2017-05-02
Alagoas,1,89.99,2017-05-03
Alagoas,3,170.89,2017-05-04
Alagoas,1,74.9,2017-05-06
Alagoas,2,448.65,2017-05-08
Alagoas,1,69.0,2017-05-13
Alagoas,3,689.84,2017-05-15
Alagoas,1,211.91,2017-05-16
Alagoas,1,1199.9,2017-05-17
Alagoas,1,56.99,2017-05-20
Alagoas,1,79.9,2017-05-21
Alagoas,1,73.99,2017-05-23
Alagoas,3,559.5,2017-05-24
Alagoas,1,47.9,2017-05-27
Alagoas,2,293.3,2017-05-28
Alagoas,1,145.99,2017-05-30
Alagoas,1,134.9,2017-05-31
Alagoas,1,29.0,2017-06-06
Alagoas,1,159.9,2017-06-07
Alagoas,2,202.89,2017-06-08
Alagoas,1,99.0,2017-06-09
Alagoas,1,97.9,2017-06-18
Alagoas,1,99.99,2017-06-20
Alagoas,2,62.98,2017-06-28
Alagoas,1,199.99,2017-06-30
Alagoas,1,39.9,2017-07-04
Alagoas,1,106.9,2017-07-09
Alagoas,1,160.99,2017-07-10
Alagoas,1,18.9,2017-07-11
Alagoas,1,98.0,2017-07-14
Alagoas,1,229.99,2017-07-15
Alagoas,1,239.0,2017-07-16
Alagoas,2,74.98,2017-07-17
Alagoas,1,113.9,2017-07-18
Alagoas,1,350.0,2017-07-20
Alagoas,1,71.82,2017-07-22
Alagoas,1,249.9,2017-07-26
Alagoas,2,388.56,2017-07-28
Alagoas,1,78.25,2017-07-30
Alagoas,1,115.0,2017-07-31
Alagoas,1,59.9,2017-08-01
Alagoas,1,799.0,2017-08-05
Alagoas,1,280.0,2017-08-10
Alagoas,1,2159.98,2017-08-13
